::1 - - [20/Mar/2026:08:22:47 +0530] "POST /genecare/get_dashboard_stats.php HTTP/1.1" 200 177 "http://localhost/genecare-webapp/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
192.168.137.136 - - [20/Mar/2026:08:24:47 +0530] "GET / HTTP/1.1" 302 - "-" "Dalvik/2.1.0 (Linux; U; Android 14; CPH2381 Build/UKQ1.230924.001)"
172.20.10.2 - - [20/Mar/2026:08:33:29 +0530] "POST /genecare/login.php HTTP/1.1" 200 142 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:08:33:29 +0530] "GET /genecare/get_counselor_appointments.php?counselor_id=17 HTTP/1.1" 200 38 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:08:33:29 +0530] "POST /genecare/get_dashboard_stats.php HTTP/1.1" 200 177 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:08:33:29 +0530] "GET /genecare/get_counselor_profile.php?user_id=17 HTTP/1.1" 200 48 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:08:33:30 +0530] "POST /genecare/get_dashboard_stats.php HTTP/1.1" 200 177 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:08:33:45 +0530] "GET /genecare/get_counselors.php HTTP/1.1" 200 1339 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:08:35:01 +0530] "POST /genecare/get_dashboard_stats.php HTTP/1.1" 200 177 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:15:30 +0530] "GET /genecare/get_counselor_profile.php?user_id=9993 HTTP/1.1" 200 105 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:15:30 +0530] "GET /genecare/get_counselors.php HTTP/1.1" 200 105 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:15:30 +0530] "GET /genecare/get_notifications.php?user_id=9993 HTTP/1.1" 200 105 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:15:30 +0530] "GET /genecare/get_counselor_appointments.php?counselor_id=9993 HTTP/1.1" 200 105 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:15:34 +0530] "POST /genecare/get_dashboard_stats.php HTTP/1.1" 200 105 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:15:35 +0530] "POST /genecare/get_dashboard_stats.php HTTP/1.1" 200 105 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:15:58 +0530] "GET /genecare/get_counselors.php HTTP/1.1" 200 1339 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:15:58 +0530] "GET /genecare/get_counselor_profile.php?user_id=9993 HTTP/1.1" 200 241 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:15:58 +0530] "GET /genecare/get_notifications.php?user_id=9993 HTTP/1.1" 200 642 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:15:58 +0530] "GET /genecare/get_counselor_appointments.php?counselor_id=9993 HTTP/1.1" 200 973 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:16:01 +0530] "POST /genecare/get_dashboard_stats.php HTTP/1.1" 200 217 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:16:02 +0530] "POST /genecare/get_dashboard_stats.php HTTP/1.1" 200 217 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:16:20 +0530] "POST /genecare/login.php HTTP/1.1" 200 142 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:16:21 +0530] "GET /genecare/get_counselor_profile.php?user_id=17 HTTP/1.1" 200 48 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:16:21 +0530] "GET /genecare/get_counselor_appointments.php?counselor_id=17 HTTP/1.1" 200 38 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:16:21 +0530] "POST /genecare/get_dashboard_stats.php HTTP/1.1" 200 177 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:16:21 +0530] "POST /genecare/get_dashboard_stats.php HTTP/1.1" 200 177 "-" "okhttp/4.12.0"
172.20.10.2 - - [20/Mar/2026:10:17:05 +0530] "GET /genecare/get_patient_details.php?patient_id=17 HTTP/1.1" 200 423 "-" "okhttp/4.12.0"
192.168.137.123 - - [20/Mar/2026:10:18:53 +0530] "GET / HTTP/1.1" 302 - "-" "Dalvik/2.1.0 (Linux; U; Android 14; CPH2401 Build/UKQ1.230924.001)"
192.168.137.123 - - [20/Mar/2026:10:20:32 +0530] "GET / HTTP/1.1" 302 - "-" "Dalvik/2.1.0 (Linux; U; Android 14; CPH2401 Build/UKQ1.230924.001)"
192.168.137.136 - - [23/Mar/2026:08:26:38 +0530] "GET / HTTP/1.1" 302 - "-" "Dalvik/2.1.0 (Linux; U; Android 14; CPH2381 Build/UKQ1.230924.001)"
